deal_website_name,cancellation_year,grid_name,grid
,2018,Max Planck Institute for Metabolism Research,grid.418034.a
,2018,Max Planck Institute for Meteorology,grid.450268.d
,2018,Max Planck Institute for Molecular Biomedicine,grid.461801.a
,2018,Max Planck Institute for Molecular Genetics,grid.419538.2
,2018,Max Planck Institute for Nuclear Physics,grid.419604.e
,2018,Max Planck Institute for Ornithology,grid.419542.f
,2018,Max Planck Institute for Physics,grid.435824.c
,2018,Max Planck Institute for Plant Breeding Research,grid.419498.9
,2018,Max Planck Institute for Plasma Physics,grid.461804.f
,2018,Max Planck Institute for Polymer Research,grid.419547.a
,2018,Max Planck Institute for Psycholinguistics,grid.419550.c
,2018,Max Planck Institute for Radio Astronomy,grid.450267.2
,2018,Max Planck Institute for Research on Collective Goods,grid.461813.9
,2018,Max Planck Institute for Social Anthropology,grid.461785.9
,2018,Max Planck Institute for Social Law and Social Policy,grid.462523.4
,2018,Max Planck Institute for Software Systems,grid.469860.5
,2018,Max Planck Institute for Solar System Research,grid.435826.e
,2018,Max Planck Institute for Solid State Research,grid.419552.e
,2018,Max Planck Institute for Tax Law and Public Finance,grid.461808.3
,2018,Max Planck Institute for Terrestrial Microbiology,grid.419554.8
,2018,Max Planck Institute for the History of Science,grid.419556.a
,2018,Max Planck Institute for the Physics of Complex Systems,grid.419560.f
,2018,Max Planck Institute for the Science of Human History,grid.469873.7
,2018,Max Planck Institute for the Science of Light,grid.419562.d
,2018,Max Planck Institute for the Structure and Dynamics of Matter,grid.469852.4
,2018,Max Planck Institute for the Study of Religious and Ethnic Diversity,grid.454072.0
,2018,Max Planck Institute for the Study of Societies,grid.461792.f
,2018,Max Planck Institute of Animal Behavior,grid.507516.0
,2018,Max Planck Institute of Biochemistry,grid.418615.f
