article_pubyear,publisher,institution_name,n_items
2018,Non-Elsevier,University of Duisburg-Essen,802
2019,Non-Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,95
2013,Non-Elsevier,Technische Universität Braunschweig,308
2012,Non-Elsevier,Max Planck Institute for Dynamics and Self Organization,57
2020,Non-Elsevier,University of Paderborn,218
2012,Non-Elsevier,Saarland University,390
2018,Non-Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,69
2017,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,174
2016,Non-Elsevier,Technical University of Berlin,627
2013,Non-Elsevier,Max Planck Institute for Chemical Ecology,71
2018,Elsevier,Technical University of Munich,703
2017,Non-Elsevier,Freie Universität Berlin,943
2015,Elsevier,"Bauhaus University, Weimar",37
2020,Non-Elsevier,"Fraunhofer Institute for Environmental, Safety, and Energy Technology",35
2017,Non-Elsevier,Humboldt University of Berlin,842
2016,Elsevier,Leibniz Institute of Polymer Research,32
2012,Non-Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,25
2019,Elsevier,Johannes Gutenberg University of Mainz,136
2020,Elsevier,University of Lübeck,73
2015,Non-Elsevier,Osnabrück University,165
2018,Non-Elsevier,University of Tübingen,1151
2019,Non-Elsevier,Max Planck Institute for Gravitational Physics,52
2017,Non-Elsevier,University of Duisburg-Essen,810
2019,Non-Elsevier,Robert Koch Institute,189
2020,Non-Elsevier,German Center for Neurodegenerative Diseases,261
2016,Elsevier,Forschungszentrum Jülich,260
2017,Non-Elsevier,German Institute of Human Nutrition,55
2013,Non-Elsevier,University of Bayreuth,283
